日期,收盘,开盘,高,低,交易量,涨跌幅
2023年8月7日,"29,194.80","29,081.30","29,215.20","29,011.80",17.87K,0.39%
2023年8月6日,"29,081.30","29,067.90","29,198.90","28,987.40",16.03K,0.05%
2023年8月5日,"29,068.10","29,105.60","29,139.30","28,983.00",14.55K,-0.13%
2023年8月4日,"29,105.50","29,189.10","29,319.10","28,875.80",31.43K,-0.29%
2023年8月3日,"29,189.30","29,180.90","29,409.80","28,981.00",36.08K,0.05%
2023年8月2日,"29,173.70","29,711.80","30,025.90","28,961.60",67.41K,-1.81%
2023年8月1日,"29,712.20","29,232.30","29,712.20","28,611.00",64.01K,1.64%
2023年7月31日,"29,232.40","29,282.00","29,502.30","29,128.30",31.84K,-0.17%
2023年7月30日,"29,281.70","29,354.20","29,446.60","29,054.50",20.58K,-0.24%
2023年7月29日,"29,353.50","29,315.00","29,400.10","29,256.90",13.90K,0.13%
2023年7月28日,"29,315.00","29,222.70","29,533.00","29,125.10",31.42K,0.32%
2023年7月27日,"29,222.70","29,352.90","29,568.80","29,094.00",30.42K,-0.44%
2023年7月26日,"29,352.20","29,228.80","29,681.80","29,109.70",44.33K,0.42%
2023年7月25日,"29,228.60","29,178.30","29,365.40","29,058.70",29.05K,0.17%
2023年7月24日,"29,178.10","30,085.90","30,098.20","28,890.70",55.73K,-3.02%
2023年7月23日,"30,085.90","29,788.90","30,337.00","29,735.70",23.32K,1.00%
2023年7月22日,"29,788.90","29,904.50","29,988.00","29,657.30",18.47K,-0.38%
2023年7月21日,"29,903.10","29,801.00","30,058.90","29,739.90",32.59K,0.34%
2023年7月20日,"29,801.00","29,909.70","30,408.00","29,621.40",50.33K,-0.36%
2023年7月19日,"29,909.70","29,866.70","30,185.50","29,789.30",34.96K,0.14%
2023年7月18日,"29,866.80","30,139.70","30,242.40","29,624.60",42.40K,-0.91%
2023年7月17日,"30,139.70","30,235.50","30,335.90","29,693.30",42.84K,-0.32%
2023年7月16日,"30,235.50","30,291.80","30,435.00","30,075.40",20.31K,-0.18%
2023年7月15日,"30,291.40","30,316.80","30,395.40","30,246.90",17.06K,-0.09%
2023年7月14日,"30,317.40","31,465.40","31,602.60","29,944.30",82.42K,-3.65%
2023年7月13日,"31,466.10","30,387.30","31,764.50","30,260.00",99.81K,3.55%
2023年7月12日,"30,387.30","30,623.30","30,951.30","30,231.70",54.06K,-0.77%
2023年7月11日,"30,623.30","30,414.20","30,782.20","30,333.80",39.84K,0.68%
2023年7月10日,"30,415.30","30,166.90","31,019.60","29,969.10",55.24K,0.82%
2023年7月9日,"30,166.90","30,288.80","30,425.50","30,071.90",20.05K,-0.40%
